Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of Crop Max Time	Problem Pattern
String Compression	Medium	35	20	12	Two Pointers
Subarray Product Less Than K	Medium	30	20	12	Sliding Window
LFU Cache	Hard	50	35	20	Hash Map + Doubly Linked List
Distinct Subsequences	Hard	45	25	15	Dynamic Programming
LRU Cache	Medium	35	20	12	Hash Map + Doubly Linked List
Course Schedule II	Medium	45	30	18	Topological Sort
Zigzag Conversion	Medium	40	25	15	Simulation
Longest Common Subsequence	Medium	28	15	8	Dynamic Programming
Longest Palindromic Substring	Medium	40	25	15	Dynamic Programming / Expand Around Center
Minimum Window Substring	Hard	70	45	30	Sliding Window
Binary Tree Maximum Path Sum	Hard	60	40	22	DFS / Tree Recursion
Longest Substring Without Repeating Characters	Medium	30	18	10	Sliding Window
Merge K Sorted Lists	Hard	55	40	25	Heap / Priority Queue
Reverse Nodes In K Group	Hard	70	50	35	Linked List Manipulation
Word Search	Medium	45	28	15	Backtracking
Validate Binary Search Tree	Medium	40	25	12	DFS / Tree Traversal
