Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Contains Duplicate	Easy	15	10	5	Arrays & Hashing	https://neetcode.io/problems/duplicate-integer?list=neetcode150
Valid Anagram	Easy	18	10	6	Arrays & Hashing	https://neetcode.io/problems/is-anagram?list=neetcode150
Two Sum	Easy	25	15	8	Arrays & Hashing	https://neetcode.io/problems/two-integer-sum?list=neetcode150
Group Anagrams	Medium	40	28	18	Arrays & Hashing	https://neetcode.io/problems/anagram-groups?list=neetcode150
Top K Frequent Elements	Medium	38	28	18	Arrays & Hashing	https://neetcode.io/problems/top-k-elements-in-list?list=neetcode150
Encode and Decode Strings	Medium	40	28	20	Arrays & Hashing	https://neetcode.io/problems/string-encode-and-decode?list=neetcode150
Product of Array Except Self	Medium	45	30	20	Arrays & Hashing	https://neetcode.io/problems/products-of-array-discluding-self?list=neetcode150
Valid Sudoku	Medium	45	35	20	Arrays & Hashing	https://neetcode.io/problems/valid-sudoku?list=neetcode150
Longest Consecutive Sequence	Medium	40	28	20	Arrays & Hashing	https://neetcode.io/problems/longest-consecutive-sequence?list=neetcode150
Valid Palindrome	Easy	20	12	8	Two Pointers	https://neetcode.io/problems/is-palindrome?list=neetcode150
Two Sum II Input Array Is Sorted	Medium	45	35	20	Two Pointers	https://neetcode.io/problems/two-integer-sum-ii?list=neetcode150
3Sum	Medium	55	40	28	Two Pointers	https://neetcode.io/problems/three-integer-sum?list=neetcode150
Container With Most Water	Medium	35	20	15	Two Pointers	https://neetcode.io/problems/max-water-container?list=neetcode150
Trapping Rain Water	Hard	60	45	30	Two Pointers	https://neetcode.io/problems/trapping-rain-water?list=neetcode150
Best Time to Buy And Sell Stock	Easy	20	12	7	Sliding Window	https://neetcode.io/problems/buy-and-sell-crypto?list=neetcode150
Longest Substring Without Repeating Characters	Medium	40	28	20	Sliding Window	https://neetcode.io/problems/longest-substring-without-duplicates?list=neetcode150
Longest Repeating Character Replacement	Medium	50	35	25	Sliding Window	https://neetcode.io/problems/longest-repeating-substring-with-replacement?list=neetcode150
Permutation In String	Medium	45	35	20	Sliding Window	https://neetcode.io/problems/permutation-string?list=neetcode150
Minimum Window Substring	Hard	70	50	38	Sliding Window	https://neetcode.io/problems/minimum-window-with-characters?list=neetcode150
Sliding Window Maximum	Hard	60	45	30	Sliding Window	https://neetcode.io/problems/sliding-window-maximum?list=neetcode150
Valid Parentheses	Easy	20	12	8	Stack	https://neetcode.io/problems/validate-parentheses?list=neetcode150
