Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Score of a String	Easy	0	0	0	Arrays & Hashing	https://neetcode.io/problems/score-of-a-string/question?list=allNC
Concatenation of Array	Easy	15	10	5	Arrays & Hashing	https://neetcode.io/problems/concatenation-of-array/question?list=allNC
Contains Duplicate	Easy	15	10	5	Arrays & Hashing	https://neetcode.io/problems/duplicate-integer/question?list=allNC
Valid Anagram	Easy	18	10	6	Arrays & Hashing	https://neetcode.io/problems/is-anagram/question?list=allNC
Replace Elements With Greatest Element On Right Side	Easy	0	0	0	Arrays & Hashing	https://neetcode.io/problems/replace-elements-with-greatest-element-on-right-side/question?list=allNC
Is Subsequence	Easy	0	0	0	Arrays & Hashing	https://neetcode.io/problems/is-subsequence/question?list=allNC
Append Characters to String to Make Subsequence	Medium	0	0	0	Arrays & Hashing	https://leetcode.com/problems/append-characters-to-string-to-make-subsequence/
Length of Last Word	Easy	8	3	1	Arrays & Hashing	https://neetcode.io/problems/length-of-last-word/question?list=allNC
Valid Word Square	Easy	0	0	0	Arrays & Hashing	https://neetcode.io/problems/valid-word-square/question?list=allNC
Number of Senior Citizens	Easy	0	0	0	Arrays & Hashing	https://leetcode.com/problems/number-of-senior-citizens/
Two Sum	Easy	25	15	8	Arrays & Hashing	https://neetcode.io/problems/two-integer-sum/question?list=allNC
Max Consecutive Ones	Easy	0	0	0	Arrays & Hashing	https://neetcode.io/problems/max-consecutive-ones/question?list=allNC
Longest Common Prefix	Easy	20	12	8	Arrays & Hashing	https://neetcode.io/problems/longest-common-prefix/question?list=allNC
String Matching in an Array	Easy	0	0	0	Arrays & Hashing	https://leetcode.com/problems/string-matching-in-an-array/
Group Anagrams	Medium	40	28	18	Arrays & Hashing	https://neetcode.io/problems/anagram-groups/question?list=allNC
Group Shifted Strings	Medium	30	19	12	Arrays & Hashing	https://neetcode.io/problems/group-shifted-strings/question?list=allNC
Pascals Triangle	Easy	0	0	0	Arrays & Hashing	https://neetcode.io/problems/pascals-triangle/question?list=allNC
Remove Element	Easy	15	10	5	Arrays & Hashing	https://neetcode.io/problems/remove-element/question?list=allNC
Unique Email Addresses	Easy	0	0	0	Arrays & Hashing	https://leetcode.com/problems/unique-email-addresses/
Isomorphic Strings	Easy	25	15	7	Arrays & Hashing	https://neetcode.io/problems/isomorphic-strings/question?list=allNC
