Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Product of Array Except Self	Medium	45	30	20	Arrays & Hashing	https://neetcode.io/problems/products-of-array-discluding-self/question?list=companyTagged&company=Uber
Best Time to Buy And Sell Stock	Easy	20	12	7	Sliding Window	https://neetcode.io/problems/buy-and-sell-crypto/question?list=companyTagged&company=Uber
Random Pick with Weight	Medium	35	20	10	Binary Search	https://neetcode.io/problems/random-pick-with-weight/question?list=companyTagged&company=Uber
Course Schedule II	Medium	45	35	20	Graphs	https://neetcode.io/problems/course-schedule-ii/question?list=companyTagged&company=Uber
The Maze	Medium	40	25	15	Graphs	https://neetcode.io/problems/the-maze/question?list=companyTagged&company=Uber
Rotating the Box	Medium	45	30	18	Math & Geometry	https://neetcode.io/problems/rotating-the-box/question?list=companyTagged&company=Uber
Two Sum	Easy	25	15	8	Arrays & Hashing	https://neetcode.io/problems/two-integer-sum/question?list=companyTagged&company=Uber
Spiral Matrix	Medium	50	35	25	Math & Geometry	https://neetcode.io/problems/spiral-matrix/question?list=companyTagged&company=Uber
Time Based Key Value Store	Medium	45	35	20	Binary Search	https://neetcode.io/problems/time-based-key-value-store/question?list=companyTagged&company=Uber
Cherry Pickup	Hard	75	45	25	2-D Dynamic Programming	https://neetcode.io/problems/cherry-pickup/question?list=companyTagged&company=Uber
Alien Dictionary	Hard	70	50	35	Advanced Graphs	https://neetcode.io/problems/foreign-dictionary/question?list=companyTagged&company=Uber
Coin Change	Medium	40	28	18	1-D Dynamic Programming	https://neetcode.io/problems/coin-change/question?list=companyTagged&company=Uber
Group Anagrams	Medium	40	28	18	Arrays & Hashing	https://neetcode.io/problems/anagram-groups/question?list=companyTagged&company=Uber
Valid Sudoku	Medium	45	35	20	Arrays & Hashing	https://neetcode.io/problems/valid-sudoku/question?list=companyTagged&company=Uber
The Maze II	Medium	55	30	18	Graphs	https://neetcode.io/problems/the-maze-ii/question?list=companyTagged&company=Uber
Valid Anagram	Easy	18	10	6	Arrays & Hashing	https://neetcode.io/problems/is-anagram/question?list=companyTagged&company=Uber
Koko Eating Bananas	Medium	45	35	20	Binary Search	https://neetcode.io/problems/eating-bananas/question?list=companyTagged&company=Uber
First Unique Number	Medium	32	20	11	Arrays & Hashing	https://neetcode.io/problems/first-unique-number/question?list=companyTagged&company=Uber
Number of Islands II	Hard	55	35	20	Graphs	https://neetcode.io/problems/number-of-islands-ii/question?list=companyTagged&company=Uber
Find Median From Data Stream	Hard	65	48	35	Heap / Priority Queue	https://neetcode.io/problems/find-median-in-a-data-stream/question?list=companyTagged&company=Uber
House Robber	Medium	30	20	12	1-D Dynamic Programming	https://neetcode.io/problems/house-robber/question?list=companyTagged&company=Uber
Optimal Account Balancing	Hard	60	40	25	1-D Dynamic Programming	https://neetcode.io/problems/optimal-account-balancing/question?list=companyTagged&company=Uber
Walls And Gates	Medium	45	35	20	Graphs	https://neetcode.io/problems/islands-and-treasure/question?list=companyTagged&company=Uber
Insert Interval	Medium	45	30	22	Intervals	https://neetcode.io/problems/insert-new-interval/question?list=companyTagged&company=Uber
Rotate Image	Medium	40	28	20	Math & Geometry	https://neetcode.io/problems/rotate-matrix/question?list=companyTagged&company=Uber
Trapping Rain Water	Hard	60	45	30	Two Pointers	https://neetcode.io/problems/trapping-rain-water/question?list=companyTagged&company=Uber
Largest Rectangle In Histogram	Hard	60	45	30	Stack	https://neetcode.io/problems/largest-rectangle-in-histogram/question?list=companyTagged&company=Uber
Next Permutation	Medium	40	24	12	Greedy	https://neetcode.io/problems/next-permutation/question?list=companyTagged&company=Uber
Interval List Intersections	Medium	30	18	10	Intervals	https://neetcode.io/problems/interval-list-intersections/question?list=companyTagged&company=Uber
Design Hit Counter	Medium	28	16	8	Arrays & Hashing	https://neetcode.io/problems/design-hit-counter/question?list=companyTagged&company=Uber
Number of Islands	Medium	35	25	18	Graphs	https://neetcode.io/problems/count-number-of-islands/question?list=companyTagged&company=Uber
Minimum Window Substring	Hard	70	50	38	Sliding Window	https://neetcode.io/problems/minimum-window-with-characters/question?list=companyTagged&company=Uber
Bus Routes	Hard	55	35	20	Advanced Graphs	https://neetcode.io/problems/bus-routes/question?list=companyTagged&company=Uber
Boundary of Binary Tree	Medium	45	28	15	Trees	https://neetcode.io/problems/boundary-of-binary-tree/question?list=companyTagged&company=Uber
Pacific Atlantic Water Flow	Medium	55	40	30	Graphs	https://neetcode.io/problems/pacific-atlantic-water-flow/question?list=companyTagged&company=Uber
Task Scheduler	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/task-scheduling/question?list=companyTagged&company=Uber
Word Ladder	Hard	60	45	30	Graphs	https://neetcode.io/problems/word-ladder/question?list=companyTagged&company=Uber
Reverse Integer	Medium	45	35	20	Bit Manipulation	https://neetcode.io/problems/reverse-integer/question?list=companyTagged&company=Uber
Construct Quad Tree	Medium	45	32	24	Trees	https://neetcode.io/problems/construct-quad-tree/question?list=companyTagged&company=Uber
Candy	Hard	75	52	38	Greedy	https://neetcode.io/problems/candy/question?list=companyTagged&company=Uber
LFU Cache	Hard	85	60	45	Linked List	https://neetcode.io/problems/lfu-cache/question?list=companyTagged&company=Uber
Find Peak Element	Medium	35	18	8	Binary Search	https://neetcode.io/problems/find-peak-element/question?list=companyTagged&company=Uber
Squares of a Sorted Array	Easy	20	10	5	Two Pointers	https://neetcode.io/problems/squares-of-a-sorted-array/question?list=companyTagged&company=Uber
Find First And Last Position of Element In Sorted Array	Medium	35	18	10	Binary Search	https://neetcode.io/problems/find-first-and-last-position-of-element-in-sorted-array/question?list=companyTagged&company=Uber
3Sum	Medium	55	40	28	Two Pointers	https://neetcode.io/problems/three-integer-sum/question?list=companyTagged&company=Uber
Search In Rotated Sorted Array	Medium	50	35	25	Binary Search	https://neetcode.io/problems/find-target-in-rotated-sorted-array/question?list=companyTagged&company=Uber
Maximum Depth of Binary Tree	Easy	18	10	6	Trees	https://neetcode.io/problems/depth-of-binary-tree/question?list=companyTagged&company=Uber
Word Search	Medium	55	40	28	Backtracking	https://neetcode.io/problems/search-for-word/question?list=companyTagged&company=Uber
Decode Ways	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/decode-ways/question?list=companyTagged&company=Uber
Serialize And Deserialize Binary Tree	Hard	70	50	38	Trees	https://neetcode.io/problems/serialize-and-deserialize-binary-tree/question?list=companyTagged&company=Uber
Min Cost to Connect All Points	Medium	45	35	20	Advanced Graphs	https://neetcode.io/problems/min-cost-to-connect-points/question?list=companyTagged&company=Uber
Longest Increasing Path In a Matrix	Hard	60	45	30	2-D Dynamic Programming	https://neetcode.io/problems/longest-increasing-path-in-matrix/question?list=companyTagged&company=Uber
Merge Strings Alternately	Easy	18	12	7	Two Pointers	https://neetcode.io/problems/merge-strings-alternately/question?list=companyTagged&company=Uber
Evaluate Division	Medium	48	34	25	Graphs	https://neetcode.io/problems/evaluate-division/question?list=companyTagged&company=Uber
Minimum Cost For Tickets	Medium	45	28	15	1-D Dynamic Programming	https://neetcode.io/problems/minimum-cost-for-tickets/question?list=companyTagged&company=Uber
Minimum Cost to Connect Sticks	Medium	20	12	5	Heap / Priority Queue	https://neetcode.io/problems/minimum-cost-to-connect-sticks/question?list=companyTagged&company=Uber
Leftmost Column With at Least a One	Medium	35	20	10	Binary Search	https://neetcode.io/problems/leftmost-column-with-at-least-a-one/question?list=companyTagged&company=Uber
